Designer,FilePageURL
Walter Gropius,https://commons.wikimedia.org/wiki/File:F51_render_cropped.png
Walter Gropius,https://commons.wikimedia.org/wiki/File:F51_render.png
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gedenktafel_Goebelstr_18_(CharN)_Walter_Gropius.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gedenktafel_Johannisthaler_Chaussee_(Grops)_Walter_Gropius.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gedenktafel_Jungfernheideweg_8_(Sieme)_Siedlung_Siemensstadt.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gedenktafel_Lipschitzplatz_(Grops)_Die_Gestalter_der_Gropiusstadt.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gedenktafel_Markt_19_(Weimar)_Walter_Gropius.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Grabmahl_Erwin_und_Friedrich_Bienert_2019.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gropius_and_Seidler_by_Dupain_1954_(cropped).jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gropius_and_Seidler_by_Dupain_1954.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Gropius_soldat.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:LA2-Blitz-0143.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Le_pavillon_du_Brésil_(Biennale_d'architecture_2014%2C_Venise)_(15588865100).jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Leipzig_-_Grassimuseum_-_Rehgarten_05_ies.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Maneta_de_porta%2C_Walter_Gropius%2C_1923%2C_Col·lecció_Alfaro_Hofmann.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Manon+Gropius+Alma_1918_(round-frame-194x194).png
Walter Gropius,https://commons.wikimedia.org/wiki/File:Shopfront_Walter_Gropius_(14135480947).jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Tribune_Tower_competition_entry._Rendering_LCCN2017645479.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Tribune_Tower_competition_entry._Rendering_LCCN2017645479.tif
Walter Gropius,https://commons.wikimedia.org/wiki/File:Walter_Gropius_by_Hugo_Erfurth%2C_1928.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:WalterGropius-1919.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Сброшюрованная_книга.jpg
William Morris,https://commons.wikimedia.org/wiki/File:William_Morris_age_53.jpg
William Morris,https://commons.wikimedia.org/wiki/File:William_Morris_Signature.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Raymond_Loewy_LOC.png
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Anscoflex_II_(John_Kratz).jpg
