Designer,Work,Status,Date
bill,Junghans Wall Clock,Placeholder_Used,2026-02-12 14:20
bill,Ulm Stool,Placeholder_Used,2026-02-12 14:20
wagenfeld,Portrait,Placeholder_Used,2026-02-12 14:20
wagenfeld,Bauhaus Lamp,Placeholder_Used,2026-02-12 14:20
wagenfeld,Kubus,Placeholder_Used,2026-02-12 14:20
wagenfeld,WMF Ash Tray,Placeholder_Used,2026-02-12 14:20
wagenfeld,Salt and Pepper Shakers,Placeholder_Used,2026-02-12 14:20
wagenfeld,Tea Service,Placeholder_Used,2026-02-12 14:20
wagenfeld,Egg Coddler,Placeholder_Used,2026-02-12 14:20
wagenfeld,Max and Moritz,Placeholder_Used,2026-02-12 14:20
wagenfeld,Wagenfeld Teapot,Placeholder_Used,2026-02-12 14:20
