Designer,Work,Type,Status,SourceURL,LocalPath,Notes
Peter Behrens,behrens_factory,Target,NotFound,,images/behrens/behrens_factory.jpg,No match in category
Peter Behrens,behrens_hoechst_administration_building,Target,NotFound,,images/behrens/behrens_hoechst_administration_building.jpg,No match in category
Peter Behrens,behrens_logo,Target,NotFound,,images/behrens/behrens_logo.jpg,No match in category
Peter Behrens,behrens_peter_behrens_house,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d4/De-Peter_Behrens.ogg,images/behrens/behrens_peter_behrens_house.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,behrens_posters,Target,NotFound,,images/behrens/behrens_posters.jpg,No match in category
Peter Behrens,behrens_typography,Target,NotFound,,images/behrens/behrens_typography.jpg,No match in category
Peter Behrens,D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29,Target,NotFound,,images/behrens/D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29.jpg,No match in category
Richard Sapper,Terraillon export 4000 Zanuso Sapper dall'alto.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/8/83/Terraillon_export_4000_Zanuso_Sapper_dall%27alto.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_dall_alto.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Max_Liebermann_Portr%C3%A4t_Peter_Behrens,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/8/8c/Max_Liebermann_Portr%C3%A4t_Peter_Behrens.jpg,images/behrens/Max_Liebermann_Portr%C3%A4t_Peter_Behrens.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Terraillon export 4000 Zanuso Sapper frontale.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d4/Terraillon_export_4000_Zanuso_Sapper_frontale.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_frontale.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter_Behrens%2C_um_1913,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/0/06/Peter_Behrens%2C_um_1913.jpg,images/behrens/Peter_Behrens%2C_um_1913.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Terraillon export 4000 Zanuso Sapper interno.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/2/23/Terraillon_export_4000_Zanuso_Sapper_interno.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_interno.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter_Behrens_by_Rudolf_Bosselt%2C_1918%2C_bronze_-_Museum_K%C3%BCnstlerkolonie_Darmstadt_-_Mathildenh%C3%B6he_-_Darmstadt%2C_Germany_-_DSC06385,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/5/5a/Peter_Behrens_by_Rudolf_Bosselt%2C_1918%2C_bronze_-_Museum_K%C3%BCnstlerkolonie_Darmstadt_-_Mathildenh%C3%B6he_-_Darmstadt%2C_Germany_-_DSC06385.jpg,images/behrens/Peter_Behrens_by_Rudolf_Bosselt%2C_1918%2C_bronze_-_Museum_K%C3%BCnstlerkolonie_Darmstadt_-_Mathildenh%C3%B6he_-_Darmstadt%2C_Germany_-_DSC06385.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Terraillon export 4000 Zanuso Sapper prospettiva 2.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/c/ce/Terraillon_export_4000_Zanuso_Sapper_prospettiva_2.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_prospettiva_2.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/f/f6/D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29.jpg,images/behrens/Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Terraillon export 4000 Zanuso Sapper scomposta 2.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/2/2e/Terraillon_export_4000_Zanuso_Sapper_scomposta_2.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_scomposta_2.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG_%28cropped%29,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/b/bb/Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG_%28cropped%29.jpg,images/behrens/Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG_%28cropped%29.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Titzenthaler%2C_Waldemar_-_Behrens%2C_Peter,Target,NotFound,,images/behrens/Titzenthaler%2C_Waldemar_-_Behrens%2C_Peter.jpeg,No match in category
Richard Sapper,Terraillon export 4000 Zanuso Sapper scomposta.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/8/88/Terraillon_export_4000_Zanuso_Sapper_scomposta.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_scomposta.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,De-Peter Behrens.ogg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d4/De-Peter_Behrens.ogg,D:\history of id course\images\_extras\behrens\De-Peter_Behrens.ogg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Dührkoop, Rudolf - Peter Behrens, Architekt (Zeno Fotografie).jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/f/f6/D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29.jpg,D:\history of id course\images\_extras\behrens\D_hrkoop__Rudolf_-_Peter_Behrens__Architekt__Zeno_Fotografie_.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter Behrens by Rudolf Dührkoop - MKG (cropped).jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/b/bb/Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG_%28cropped%29.jpg,D:\history of id course\images\_extras\behrens\Peter_Behrens_by_Rudolf_D_hrkoop_-_MKG__cropped_.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,brandt_ashtray,Target,NotFound,,images/brandt/brandt_ashtray.jpg,No match in category
Marianne Brandt,brandt_bauhaus_metalwork,Target,NotFound,,images/brandt/brandt_bauhaus_metalwork.jpg,No match in category
Marianne Brandt,brandt_bowl,Target,NotFound,,images/brandt/brandt_bowl.jpg,No match in category
Marianne Brandt,brandt_ceiling_lamp,Target,NotFound,,images/brandt/brandt_ceiling_lamp.jpg,No match in category
Marianne Brandt,brandt_coffee_and_tea_set,Target,NotFound,,images/brandt/brandt_coffee_and_tea_set.jpg,No match in category
Marianne Brandt,brandt_desk_lamp,Target,NotFound,,images/brandt/brandt_desk_lamp.jpg,No match in category
Marianne Brandt,brandt_geometric_teapot,Target,NotFound,,images/brandt/brandt_geometric_teapot.jpg,No match in category
Marianne Brandt,brandt_kandem_lamp,Target,NotFound,,images/brandt/brandt_kandem_lamp.jpg,No match in category
Marianne Brandt,brandt_portrait,Target,NotFound,,images/brandt/brandt_portrait.jpg,No match in category
Marianne Brandt,brandt_tea_infuser,Target,NotFound,,images/brandt/brandt_tea_infuser.jpg,No match in category
Peter Behrens,Titzenthaler, Waldemar - Behrens, Peter.jpeg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/2/20/Titzenthaler%2C_Waldemar_-_Behrens%2C_Peter.jpeg,D:\history of id course\images\_extras\behrens\Titzenthaler__Waldemar_-_Behrens__Peter.jpeg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,BischofMarie.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/6/6f/BischofMarie.jpg,D:\history of id course\images\_extras\brandt\BischofMarie.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter Behrens, um 1913.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/0/06/Peter_Behrens%2C_um_1913.jpg,D:\history of id course\images\_extras\behrens\Peter_Behrens__um_1913.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Brandt an Voss.pdf,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/5/59/Brandt_an_Voss.pdf,D:\history of id course\images\_extras\brandt\Brandt_an_Voss.pdf,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
