Designer,RelativePath,Filename,Year
ive,images/ive/Jonathan_Ive_%28OTRS%29.jpg,Jonathan_Ive_%28OTRS%29.jpg,
ive,images/ive/Sir Jonathan Paul Ive.jpg,Sir Jonathan Paul Ive.jpg,
jacobsen,images/jacobsen/Arne_Jacobsen_photo.jpg,Arne_Jacobsen_photo.jpg,
jacobsen,images/jacobsen/jacobsen_aj_lamp.jpg,jacobsen_aj_lamp.jpg,
jacobsen,images/jacobsen/jacobsen_ant_chair.jpg,jacobsen_ant_chair.jpg,
jacobsen,images/jacobsen/jacobsen_kubeflex_exterior_01.jpg,jacobsen_kubeflex_exterior_01.jpg,
jacobsen,images/jacobsen/jacobsen_kubeflex_interior_01.jpg,jacobsen_kubeflex_interior_01.jpg,
jacobsen,images/jacobsen/jacobsen_kubeflex_interior_02.jpg,jacobsen_kubeflex_interior_02.jpg,
jacobsen,images/jacobsen/jacobsen_photo.jpg,jacobsen_photo.jpg,
lihotzky,images/lihotzky/lihotzky_kitchen.jpg,lihotzky_kitchen.jpg,
lihotzky,images/lihotzky/Margarete Sch\u00fctte-Lihotzky.jpg,u00fctte-Lihotzky.jpg,
loewy,images/loewy/loewy_creuset.jpg,loewy_creuset.jpg,
loewy,images/loewy/loewy_ii_john_kratz_.jpg,loewy_ii_john_kratz_.jpg,
loewy,images/loewy/loewy_lotus_ferm_e.jpg,loewy_lotus_ferm_e.jpg,
loewy,images/loewy/loewy_lotus_ouverte.jpg,loewy_lotus_ouverte.jpg,
loewy,images/loewy/loewy_radio_by_raymond_loewy.jpg,loewy_radio_by_raymond_loewy.jpg,
loewy,images/loewy/loewy_skylab.jpg,loewy_skylab.jpg,
loewy,images/loewy/loewy_streamline.jpg,loewy_streamline.jpg,
loewy,images/loewy/loewy_studebaker_starliner.jpg,loewy_studebaker_starliner.jpg,
loewy,images/loewy/raymond_loewy_lucky_strike_pack.webp,raymond_loewy_lucky_strike_pack.webp,
loewy,images/loewy/raymond_loewy_portrait.webp,raymond_loewy_portrait.webp,
morris,images/morris/morris_textile.jpg,morris_textile.jpg,
morris,images/morris/morris_wallpaper.jpg,morris_wallpaper.jpg,
morris,images/morris/William_Morris.jpg,William_Morris.jpg,
nelson,images/nelson/nelson_associates_tramite_howard_miller_clock_company_kite_clock_n._2201_zeeland_mi_1952_53.jpg,nelson_associates_tramite_howard_miller_clock_company_kite_clock_n._2201_zeeland_mi_1952_53.jpg,1952
nelson,images/nelson/nelson_bubble_lamp.jpg,nelson_bubble_lamp.jpg,
nelson,images/nelson/nelson_circular.jpg,nelson_circular.jpg,
nelson,images/nelson/nelson_coconut_chair.jpg,nelson_coconut_chair.jpg,
nelson,images/nelson/nelson_harper_attr._per_george_nelson_associates_tramite_howard_miller_clock_company_ball_clock_n._4755_zeeland_mi_1948_69.jpg,nelson_harper_attr._per_george_nelson_associates_tramite_howard_miller_clock_company_ball_clock_n._4755_zeeland_mi_1948_69.jpg,1948
nelson,images/nelson/nelson_harper_attr._per_george_nelson_associates_tramite_howard_miller_clock_company_block_o_tab_clock_n._6085_1961_replica_del_1970_74_ca._.jpg,nelson_harper_attr._per_george_nelson_associates_tramite_howard_miller_clock_company_block_o_tab_clock_n._6085_1961_replica_del_1970_74_ca._.jpg,1961
nelson,images/nelson/nelson_library_presentation_006_954496199_.jpg,nelson_library_presentation_006_954496199_.jpg,
nelson,images/nelson/nelson_library_presentation_006_corrected_and_cropped_.jpg,nelson_library_presentation_006_corrected_and_cropped_.jpg,
nelson,images/nelson/nelson_portrait.jpg,nelson_portrait.jpg,
newson,images/newson/newson.jpg,newson.jpg,
newson,images/newson/newson_business_of_luxury_gala_reception.jpg,newson_business_of_luxury_gala_reception.jpg,
newson,images/newson/newson_cropped_.jpg,newson_cropped_.jpg,
newson,images/newson/newson_embryo_chair.jpg,newson_embryo_chair.jpg,
newson,images/newson/newson_friedman_and_marc_newson_5804327693_.jpg,newson_friedman_and_marc_newson_5804327693_.jpg,
newson,images/newson/newson_portrait.jpg,newson_portrait.jpg,
newson,images/newson/newson_qantas_a380_interiors.jpg,newson_qantas_a380_interiors.jpg,
nizzoli,images/nizzoli/nizzoli.jpg,nizzoli.jpg,
nizzoli,images/nizzoli/nizzoli_509_ottimamente_lubrificata.jpg,nizzoli_509_ottimamente_lubrificata.jpg,
nizzoli,images/nizzoli/nizzoli_al_museo_fisogni.jpg,nizzoli_al_museo_fisogni.jpg,
nizzoli,images/nizzoli/nizzoli_bella_societ_mc_4s_macchina_calcolatrice_4_summa_1940_2677178265_.jpg,nizzoli_bella_societ_mc_4s_macchina_calcolatrice_4_summa_1940_2677178265_.jpg,1940
nizzoli,images/nizzoli/nizzoli_di_benzina_supercortemaggiore_esposto_in_triennale_milano.jpg,nizzoli_di_benzina_supercortemaggiore_esposto_in_triennale_milano.jpg,
nizzoli,images/nizzoli/nizzoli_e_mario_olivieri_distributore_di_benzina_supercortemaggiore_per_agip_1963.jpg,nizzoli_e_mario_olivieri_distributore_di_benzina_supercortemaggiore_per_agip_1963.jpg,1963
nizzoli,images/nizzoli/nizzoli_pignone_agip_museo_fisogni.jpg,nizzoli_pignone_agip_museo_fisogni.jpg,
nizzoli,images/nizzoli/nizzoli_portrait.jpg,nizzoli_portrait.jpg,
ponti,images/ponti/ponti_170420_domus_fausta.jpg,ponti_170420_domus_fausta.jpg,
ponti,images/ponti/ponti_201100_domus_julia.jpg,ponti_201100_domus_julia.jpg,2011
ponti,images/ponti/ponti_alrashidhotelbaghdad.jpg,ponti_alrashidhotelbaghdad.jpg,
ponti,images/ponti/ponti_direzionale_montecatini_milano.jpg,ponti_direzionale_montecatini_milano.jpg,
ponti,images/ponti/ponti_portrait.jpg,ponti_portrait.jpg,
ponti,images/ponti/ponti_superleggera_chair.jpg,ponti_superleggera_chair.jpg,
rams,images/rams/Braun_ABW30_%28schwarz%29.jpg,Braun_ABW30_%28schwarz%29.jpg,
rams,images/rams/braun_razor.jpg,braun_razor.jpg,
rams,images/rams/braun_sk4.jpg,braun_sk4.jpg,
rams,images/rams/dieter_rams_portrait.jpg,dieter_rams_portrait.jpg,
rams,images/rams/rams_2020_04_21_uhren_fuer_den_innenbereich.jpg,rams_2020_04_21_uhren_fuer_den_innenbereich.jpg,2020
rams,images/rams/rams_audio_310.jpeg,rams_audio_310.jpeg,
rams,images/rams/rams_braun_d40_frankfurt_2024_03.jpg,rams_braun_d40_frankfurt_2024_03.jpg,2024
rams,images/rams/rams_d40_rodenstock_splendar.jpg,rams_d40_rodenstock_splendar.jpg,
rams,images/rams/rams_dieter_rams_chair_from_studienarbeit_drawing.jpg,rams_dieter_rams_chair_from_studienarbeit_drawing.jpg,
rams,images/rams/rams_et66_calculator_1987.jpg,rams_et66_calculator_1987.jpg,1987
rams,images/rams/rams_sk4.jpg,rams_sk4.jpg,
rams,images/rams/rams_t1000_radio_1963.jpg,rams_t1000_radio_1963.jpg,1963
rams,images/rams/vitsoe_606.jpg,vitsoe_606.jpg,
rashid,images/rashid/rashid_.jpg,rashid_.jpg,
rashid,images/rashid/rashid_bern_city_designed_by_karim_rashid_2.jpg,rashid_bern_city_designed_by_karim_rashid_2.jpg,
rashid,images/rashid/rashid_bern_city_designed_by_karim_rashid_3.jpg,rashid_bern_city_designed_by_karim_rashid_3.jpg,
rashid,images/rashid/rashid_portrait.jpg,rashid_portrait.jpg,
rashid,images/rashid/rashid_talks_to_press_at_innoprom_2012.jpg,rashid_talks_to_press_at_innoprom_2012.jpg,2012
sapper,images/sapper/sapper_.jpg,sapper_.jpg,
sapper,images/sapper/sapper_a_musicassette_a_transistor_museo_scienza_tecnologia_milano_10088_dia.jpg,sapper_a_musicassette_a_transistor_museo_scienza_tecnologia_milano_10088_dia.jpg,
sapper,images/sapper/sapper_halley_lamp.jpg,sapper_halley_lamp.jpg,
sapper,images/sapper/sapper_portrait.jpg,sapper_portrait.jpg,
sapper,images/sapper/sapper_r_sapper.jpg,sapper_r_sapper.jpg,
sapper,images/sapper/sapper_tizio.jpg,sapper_tizio.jpg,
sapper,images/sapper/sapper_tizio_lamp.jpg,sapper_tizio_lamp.jpg,
sapper,images/sapper/sapper_zanuso_e_richard_sapper_per_kartell_seggiolina_4999_1964.jpg,sapper_zanuso_e_richard_sapper_per_kartell_seggiolina_4999_1964.jpg,1964
sottsass,images/sottsass/carlton_bookshelf.jpg,carlton_bookshelf.jpg,
sottsass,images/sottsass/casablanca_sideboard.jpg,casablanca_sideboard.jpg,
sottsass,images/sottsass/magno_radio.jpg,magno_radio.jpg,
sottsass,images/sottsass/sottsass_and_fernanda_pivano_1969.jpg,sottsass_and_fernanda_pivano_1969.jpg,1969
sottsass,images/sottsass/sottsass_giornalista_lillo_gullo_intervista_l_architetto_e_designer_ettore_sottsass.jpg,sottsass_giornalista_lillo_gullo_intervista_l_architetto_e_designer_ettore_sottsass.jpg,
sottsass,images/sottsass/sottsass_in_tonalite_dell_adamello.jpg,sottsass_in_tonalite_dell_adamello.jpg,
sottsass,images/sottsass/sottsass_in_tonalite_dell_adamello_by_ettore_sottsass.jpg,sottsass_in_tonalite_dell_adamello_by_ettore_sottsass.jpg,
sottsass,images/sottsass/sottsass_of_man_transforms_exhibit_at_c_h_museum.jpg,sottsass_of_man_transforms_exhibit_at_c_h_museum.jpg,
sottsass,images/sottsass/sottsass_tahiti_lamp.jpg,sottsass_tahiti_lamp.jpg,
starck,images/starck/starck_alhondiga.jpg,starck_alhondiga.jpg,
starck,images/starck/starck_bubble_club_sofa.jpg,starck_bubble_club_sofa.jpg,
starck,images/starck/starck_louis_ghost.jpg,starck_louis_ghost.jpg,
starck,images/starck/starck_philippe_starckphilippe_starck.jpg,starck_philippe_starckphilippe_starck.jpg,
starck,images/starck/starck_portrait.jpg,starck_portrait.jpg,
starck,images/starck/starck_toaster.jpg,starck_toaster.jpg,
wagenfeld,images/wagenfeld/wagenfeld_am_wall_209_in_bremen.jpg,wagenfeld_am_wall_209_in_bremen.jpg,
wagenfeld,images/wagenfeld/wagenfeld_aus_feuerfestem_jenaer_glas_l_szl_moholy_nagy_1933.jpg,wagenfeld_aus_feuerfestem_jenaer_glas_l_szl_moholy_nagy_1933.jpg,1933
wagenfeld,images/wagenfeld/wagenfeld_bauhaus_lamp.jpg,wagenfeld_bauhaus_lamp.jpg,
wagenfeld,images/wagenfeld/wagenfeld_design_brd.jpg,wagenfeld_design_brd.jpg,
wagenfeld,images/wagenfeld/wagenfeld_portrait.jpg,wagenfeld_portrait.jpg,
wagenfeld,images/wagenfeld/wagenfeld_porzellanmanufaktur_f_rstenberg_wagenfeld_639_e.jpg,wagenfeld_porzellanmanufaktur_f_rstenberg_wagenfeld_639_e.jpg,
wagenfeld,images/wagenfeld/wagenfeld_tea_service.jpg,wagenfeld_tea_service.jpg,
wagenfeld,images/wagenfeld/wagenfeld_wmf_ash_tray.jpg,wagenfeld_wmf_ash_tray.jpg,
